l-32 hs-2048 stronghold SamplesPerSecond 0.6798836282122259
l-40 hs-2048 stronghold SamplesPerSecond 0.44792077250972206
l-40 hs-2048 stronghold SamplesPerSecond 0.5018221995200892
l-40 hs-2048 stronghold SamplesPerSecond 0.5035183193464566
l-40 hs-2048 stronghold SamplesPerSecond 0.5056774531369521
l-40 hs-2048 stronghold SamplesPerSecond 0.5068598750426586
l-48 hs-2048 stronghold SamplesPerSecond 0.3573683597331932
l-48 hs-2048 stronghold SamplesPerSecond 0.3960249894711985
l-48 hs-2048 stronghold SamplesPerSecond 0.39611717799442503
l-48 hs-2048 stronghold SamplesPerSecond 0.397001911024799
l-48 hs-2048 stronghold SamplesPerSecond 0.4024425822552111
l-56 hs-2048 stronghold SamplesPerSecond 0.2982464726893406
l-56 hs-2048 stronghold SamplesPerSecond 0.3381811147700509
l-56 hs-2048 stronghold SamplesPerSecond 0.33855784299687003
l-56 hs-2048 stronghold SamplesPerSecond 0.3387459817110942
l-56 hs-2048 stronghold SamplesPerSecond 0.34019895406826367
l-64 hs-2048 stronghold SamplesPerSecond 0.2529089353836165
l-64 hs-2048 stronghold SamplesPerSecond 0.2787931746726078
l-64 hs-2048 stronghold SamplesPerSecond 0.28169017300627897
l-64 hs-2048 stronghold SamplesPerSecond 0.2834320488697934
l-64 hs-2048 stronghold SamplesPerSecond 0.28562964787018397
l-78 hs-2048 l2l SamplesPerSecond 0.05902508283581907
l-78 hs-2048 stronghold SamplesPerSecond 0.19972832392908013
l-78 hs-2048 stronghold SamplesPerSecond 0.2230654582750636
l-78 hs-2048 stronghold SamplesPerSecond 0.22640825029516973
l-78 hs-2048 stronghold SamplesPerSecond 0.22694036641795684
l-78 hs-2048 stronghold SamplesPerSecond 0.22697476423646581
l-92 hs-2048 stronghold SamplesPerSecond 0.16686527509635227
l-92 hs-2048 stronghold SamplesPerSecond 0.18987657760341878
l-92 hs-2048 stronghold SamplesPerSecond 0.19000834119876234
l-92 hs-2048 stronghold SamplesPerSecond 0.19086855366284317
l-92 hs-2048 stronghold SamplesPerSecond 0.1909364776140213
l-100 hs-2048 stronghold 5.141 B
l-16 hs-2048 stronghold 0.911 B
l-24 hs-2048 stronghold 1.314 B
l-32 hs-2048 l2l 1.717 B
l-32 hs-2048 megatron-lm 1.717 B
l-32 hs-2048 stronghold 1.717 B
l-32 hs-2048 zero-infinity 1.717 B
l-32 hs-2048 zero-offload 1.717 B
l-40 hs-2048 stronghold 2.119 B
l-48 hs-2048 stronghold 2.522 B
l-48 hs-2048 zero-infinity 2.522 B
l-48 hs-2048 zero-offload 2.522 B
l-56 hs-2048 stronghold 2.925 B
l-64 hs-2048 stronghold 3.328 B
l-78 hs-2048 l2l 4.033 B
l-78 hs-2048 stronghold 4.033 B
l-92 hs-2048 stronghold 4.738 B
